AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
97,"[1, 20, 2, 12, 31, 10, 20, 46]",ga_gen_200.csv:gen70,488,305,33,504.5
98,"[30, 23, 26, 24, 30, 40, 17, 47]",ga_gen_200.csv:gen72,369,439,18,378.0
99,"[16, 26, 26, 24, 24, 38, 22, 27]",ga_gen_200.csv:gen74,418,402,6,421.0
100,"[46, 13, 29, 26, 29, 33, 28, 37]",ga_gen_200.csv:gen76,440,370,16,448.0
101,"[45, 21, 18, 13, 15, 29, 28, 34]",ga_gen_200.csv:gen78,392,428,6,395.0
102,"[45, 11, 29, 42, 8, 15, 20, 34]",ga_gen_200.csv:gen80,413,404,9,417.5
103,"[38, 48, 13, 6, 9, 5, 26, 44]",ga_gen_200.csv:gen82,549,273,4,551.0
104,"[0, 30, 17, 38, 12, 41, 39, 40]",ga_gen_200.csv:gen84,425,380,21,435.5
105,"[27, 50, 41, 22, 37, 19, 12, 31]",ga_gen_200.csv:gen86,435,389,2,436.0
106,"[15, 25, 12, 33, 8, 44, 11, 44]",ga_gen_200.csv:gen88,395,421,10,400.0
107,"[48, 27, 18, 18, 11, 35, 23, 27]",ga_gen_200.csv:gen90,344,472,10,349.0
108,"[39, 10, 17, 35, 26, 36, 50, 48]",ga_gen_200.csv:gen92,502,306,18,511.0
109,"[19, 33, 25, 29, 41, 44, 20, 23]",ga_gen_200.csv:gen94,372,440,14,379.0
110,"[29, 23, 28, 27, 32, 32, 19, 25]",ga_gen_200.csv:gen96,446,379,1,446.5
111,"[32, 19, 21, 27, 32, 36, 29, 30]",ga_gen_200.csv:gen98,267,551,8,271.0
112,"[12, 16, 32, 32, 7, 23, 13, 33]",ga_gen_200.csv:gen100,435,378,13,441.5
113,"[12, 16, 32, 32, 8, 23, 13, 33]",ga_gen_200.csv:gen102,447,367,12,453.0
114,"[30, 40, 32, 13, 36, 29, 12, 18]",ga_gen_200.csv:gen104,480,342,4,482.0
115,"[12, 34, 35, 26, 29, 8, 25, 20]",ga_gen_200.csv:gen106,327,491,8,331.0
116,"[29, 27, 21, 21, 38, 18, 26, 27]",ga_gen_200.csv:gen108,403,414,9,407.5
117,"[46, 4, 41, 33, 27, 13, 47, 21]",ga_gen_200.csv:gen110,378,439,9,382.5
118,"[1, 14, 24, 21, 42, 41, 6, 32]",ga_gen_200.csv:gen112,367,445,14,374.0
119,"[22, 26, 15, 20, 25, 30, 30, 31]",ga_gen_200.csv:gen114,301,516,9,305.5
120,"[35, 46, 9, 11, 16, 19, 17, 4]",ga_gen_200.csv:gen116,401,378,47,424.5
121,"[3, 8, 36, 23, 17, 35, 37, 36]",ga_gen_200.csv:gen118,389,426,11,394.5
122,"[4, 13, 37, 27, 32, 19, 23, 24]",ga_gen_200.csv:gen120,388,433,5,390.5
123,"[41, 7, 22, 30, 11, 20, 28, 24]",ga_gen_200.csv:gen122,310,511,5,312.5
124,"[26, 18, 16, 36, 23, 23, 20, 20]",ga_gen_200.csv:gen124,334,484,8,338.0
125,"[47, 20, 15, 29, 39, 20, 23, 28]",ga_gen_200.csv:gen126,483,326,17,491.5
126,"[6, 7, 37, 11, 3, 50, 25, 12]",ga_gen_200.csv:gen128,258,562,6,261.0
127,"[16, 11, 24, 20, 12, 23, 27, 15]",ga_gen_200.csv:gen130,391,425,10,396.0
128,"[31, 13, 32, 22, 25, 27, 42, 18]",ga_gen_200.csv:gen132,475,343,8,479.0
129,"[36, 27, 43, 21, 27, 21, 31, 29]",ga_gen_200.csv:gen134,457,360,9,461.5
130,"[16, 21, 8, 29, 26, 1, 15, 32]",ga_gen_200.csv:gen136,422,395,9,426.5
131,"[16, 21, 8, 29, 26, 1, 15, 32]",ga_gen_200.csv:gen138,422,395,9,426.5
132,"[16, 11, 18, 16, 4, 13, 42, 8]",ga_gen_200.csv:gen140,467,352,7,470.5
133,"[23, 7, 30, 20, 40, 39, 30, 2]",ga_gen_200.csv:gen142,415,405,6,418.0
134,"[10, 11, 38, 25, 8, 25, 40, 22]",ga_gen_200.csv:gen144,450,373,3,451.5
135,"[42, 9, 25, 16, 5, 41, 30, 33]",ga_gen_200.csv:gen146,318,487,21,328.5
136,"[31, 13, 18, 24, 23, 31, 28, 16]",ga_gen_200.csv:gen148,479,338,9,483.5
137,"[32, 18, 16, 19, 19, 30, 30, 15]",ga_gen_200.csv:gen150,389,432,5,391.5
138,"[30, 20, 40, 29, 20, 37, 43, 24]",ga_gen_200.csv:gen152,395,427,4,397.0
139,"[47, 37, 3, 46, 34, 26, 30, 30]",ga_gen_200.csv:gen154,409,411,6,412.0
140,"[46, 13, 27, 36, 19, 19, 34, 9]",ga_gen_200.csv:gen156,524,291,11,529.5
141,"[19, 36, 12, 13, 2, 41, 31, 7]",ga_gen_200.csv:gen158,433,383,10,438.0
142,"[19, 7, 14, 14, 44, 47, 8, 23]",ga_gen_200.csv:gen160,445,372,9,449.5
143,"[19, 20, 36, 38, 26, 49, 48, 34]",ga_gen_200.csv:gen162,393,426,7,396.5
144,"[34, 13, 19, 20, 23, 15, 31, 24]",ga_gen_200.csv:gen164,508,305,13,514.5
