AI_ID,Genome,Sources
254,"[12, 27, 18, 28, 31, 16, 26, 21]",ga_gen_500.csv:gen182
255,"[12, 27, 18, 28, 31, 16, 26, 21]",ga_gen_500.csv:gen184
256,"[22, 27, 21, 24, 27, 33, 23, 24]",ga_gen_500.csv:gen186
257,"[25, 23, 15, 18, 27, 48, 24, 29]",ga_gen_500.csv:gen188
258,"[6, 44, 28, 0, 29, 9, 5, 18]",ga_gen_500.csv:gen190
259,"[46, 50, 28, 1, 27, 25, 39, 22]",ga_gen_500.csv:gen192
260,"[34, 28, 1, 49, 16, 2, 31, 41]",ga_gen_500.csv:gen194
261,"[34, 28, 1, 49, 16, 2, 31, 41]",ga_gen_500.csv:gen196
262,"[0, 12, 11, 13, 27, 43, 20, 8]",ga_gen_500.csv:gen198
263,"[30, 49, 26, 19, 12, 6, 37, 21]",ga_gen_500.csv:gen200
264,"[43, 29, 16, 41, 21, 23, 16, 19]",ga_gen_500.csv:gen202
265,"[25, 17, 35, 28, 15, 26, 28, 45]",ga_gen_500.csv:gen204
266,"[10, 18, 28, 32, 22, 48, 14, 44]",ga_gen_500.csv:gen206
267,"[23, 22, 43, 27, 28, 13, 24, 14]",ga_gen_500.csv:gen208
268,"[0, 12, 17, 50, 43, 24, 33, 39]",ga_gen_500.csv:gen210
269,"[3, 13, 19, 46, 40, 24, 32, 38]",ga_gen_500.csv:gen212
270,"[14, 2, 34, 31, 3, 38, 29, 34]",ga_gen_500.csv:gen214
271,"[12, 17, 2, 40, 27, 42, 27, 47]",ga_gen_500.csv:gen216
272,"[49, 7, 21, 20, 11, 34, 25, 13]",ga_gen_500.csv:gen218
273,"[24, 21, 20, 12, 17, 29, 25, 29]",ga_gen_500.csv:gen220
274,"[43, 12, 37, 11, 25, 35, 4, 17]",ga_gen_500.csv:gen222
275,"[22, 28, 23, 27, 38, 19, 24, 30]",ga_gen_500.csv:gen224
276,"[31, 31, 29, 37, 6, 35, 43, 39]",ga_gen_500.csv:gen226
277,"[31, 12, 45, 37, 31, 39, 41, 21]",ga_gen_500.csv:gen228
278,"[31, 12, 44, 37, 31, 39, 41, 21]",ga_gen_500.csv:gen230
279,"[12, 9, 6, 36, 19, 1, 27, 45]",ga_gen_500.csv:gen232
280,"[19, 33, 17, 39, 30, 30, 27, 25]",ga_gen_500.csv:gen234
281,"[18, 23, 20, 39, 1, 19, 6, 44]",ga_gen_500.csv:gen236
282,"[14, 21, 34, 35, 24, 45, 36, 13]",ga_gen_500.csv:gen238
283,"[12, 27, 43, 15, 38, 23, 23, 23]",ga_gen_500.csv:gen240
284,"[16, 1, 7, 38, 22, 0, 13, 36]",ga_gen_500.csv:gen242
285,"[26, 29, 33, 25, 32, 34, 41, 36]",ga_gen_500.csv:gen244
286,"[15, 4, 42, 35, 17, 17, 18, 33]",ga_gen_500.csv:gen246
287,"[35, 4, 24, 17, 26, 25, 29, 26]",ga_gen_500.csv:gen248
288,"[24, 18, 16, 25, 15, 18, 20, 25]",ga_gen_500.csv:gen250
289,"[32, 31, 5, 49, 36, 37, 36, 18]",ga_gen_500.csv:gen252
290,"[11, 28, 34, 21, 4, 44, 47, 38]",ga_gen_500.csv:gen254
291,"[33, 10, 31, 32, 24, 26, 24, 38]",ga_gen_500.csv:gen256
292,"[20, 29, 15, 25, 24, 23, 18, 27]",ga_gen_500.csv:gen258
293,"[20, 29, 15, 25, 24, 23, 18, 27]",ga_gen_500.csv:gen260
294,"[15, 45, 26, 13, 29, 21, 5, 41]",ga_gen_500.csv:gen262
295,"[38, 37, 24, 23, 33, 14, 20, 14]",ga_gen_500.csv:gen264
296,"[37, 15, 5, 25, 22, 3, 34, 26]",ga_gen_500.csv:gen266
297,"[23, 32, 35, 39, 26, 31, 20, 39]",ga_gen_500.csv:gen268
298,"[43, 33, 17, 25, 24, 42, 31, 41]",ga_gen_500.csv:gen270
