# Nonaga GA Run
# run_name: sanity
# timestamp: 2026-05-07T18:55:15
# raw_cli_args: --run-name sanity
# full_run_parameters:
#   log_file: C:\Users\carlk\Documents\GitHub\nonaga-online\GA results\sanity.csv
#   mode: local
#   run_name: sanity

=== Stage 1/4 ===
1,0.6875,0.5,0.375,"[20, 25, 23, 18, 15, 13, 20, 21]","[17, 21, 23, 30, 28, 37, 23, 24]","[17, 13, 23, 13, 14, 19, 23, 24]","[19, 19, 22, 23, 16, 19, 18, 19]","[19, 19, 23, 22, 15, 19, 19, 19]"
2,0.625,0.5,0.375,"[19, 18, 23, 21, 15, 19, 20, 20]","[17, 21, 23, 30, 28, 37, 23, 24]","[20, 25, 23, 18, 15, 13, 20, 21]","[17, 13, 23, 13, 14, 19, 23, 24]","[25, 36, 23, 14, 43, 49, 12, 23]"
3,0.5,0.5,0.5,"[19, 18, 23, 21, 15, 19, 20, 20]","[20, 25, 23, 18, 15, 13, 20, 21]","[20, 25, 23, 18, 15, 13, 20, 21]","[20, 24, 23, 18, 15, 14, 20, 21]","[26, 2, 23, 29, 15, 23, 37, 20]"
4,0.625,0.5,0.0,"[19, 18, 23, 21, 15, 19, 20, 20]","[20, 24, 23, 18, 15, 14, 20, 21]","[20, 25, 23, 18, 15, 13, 20, 21]","[20, 24, 23, 18, 15, 14, 20, 21]","[19, 39, 36, 14, 15, 19, 20, 20]"
5,0.6875,0.5,0.125,"[6, 25, 35, 37, 4, 13, 9, 45]","[19, 18, 23, 21, 15, 19, 20, 20]","[20, 24, 23, 18, 15, 14, 20, 21]","[20, 23, 23, 19, 15, 15, 20, 21]","[44, 19, 50, 31, 40, 18, 7, 22]"
6,0.6875,0.5,0.0625,"[6, 25, 35, 37, 4, 13, 9, 45]","[13, 11, 29, 28, 10, 2, 41, 32]","[29, 23, 23, 11, 43, 15, 20, 40]","[20, 23, 23, 19, 15, 15, 20, 21]","[12, 22, 29, 30, 9, 16, 14, 33]"
7,0.6875,0.5,0.3125,"[16, 17, 29, 0, 22, 38, 14, 43]","[6, 25, 35, 37, 4, 13, 9, 45]","[50, 24, 9, 24, 25, 40, 15, 24]","[22, 23, 23, 17, 22, 15, 20, 26]","[27, 23, 23, 13, 36, 15, 20, 35]"
8,0.75,0.5,0.125,"[37, 21, 17, 15, 24, 39, 15, 31]","[16, 17, 29, 0, 22, 38, 14, 43]","[29, 20, 21, 9, 23, 39, 14, 36]","[50, 24, 9, 24, 25, 40, 15, 24]","[27, 23, 23, 13, 36, 15, 20, 35]"
9,0.625,0.5,0.125,"[16, 17, 29, 0, 22, 38, 14, 43]","[29, 20, 21, 9, 23, 39, 14, 36]","[29, 20, 33, 9, 23, 29, 34, 20]","[37, 21, 17, 15, 24, 39, 15, 31]","[32, 0, 17, 41, 24, 29, 0, 31]"
=== Stage 3/4 ===
range: 25:37
generations: 10
pop_size: 5
mutation_prob: 0.4
k_opponents: 4
depth: 2
max_moves: 30
genome_length: 8
mutation_rate: 0.5
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.8125,0.5,0.125,"[34, 29, 34, 29, 35, 34, 29, 31]","[30, 37, 32, 31, 28, 35, 27, 30]","[35, 27, 34, 35, 32, 26, 37, 33]","[30, 33, 27, 35, 35, 26, 27, 37]","[36, 33, 26, 29, 31, 30, 33, 37]"
1,0.8125,0.5,0.125,"[34, 29, 34, 29, 35, 34, 29, 31]","[30, 36, 32, 31, 37, 34, 27, 15]","[11, 37, 33, 14, 13, 18, 43, 0]","[30, 45, 6, 31, 28, 40, 27, 30]","[36, 32, 0, 29, 48, 34, 14, 36]"
2,0.6875,0.5,0.1875,"[34, 29, 34, 29, 35, 34, 29, 31]","[30, 28, 32, 31, 28, 49, 27, 15]","[29, 30, 31, 15, 3, 20, 42, 3]","[40, 36, 18, 31, 21, 18, 27, 19]","[28, 44, 8, 30, 27, 38, 28, 27]"
3,0.6875,0.5,0.25,"[1, 41, 30, 49, 18, 38, 42, 46]","[30, 26, 8, 26, 20, 40, 38, 11]","[34, 29, 34, 29, 35, 34, 29, 31]","[29, 29, 31, 20, 11, 29, 37, 7]","[29, 29, 31, 21, 13, 31, 36, 8]"
4,0.625,0.5,0.3125,"[31, 29, 32, 24, 21, 32, 33, 16]","[31, 29, 32, 23, 18, 31, 35, 14]","[1, 41, 30, 49, 18, 38, 42, 46]","[32, 29, 33, 26, 28, 32, 31, 24]","[32, 29, 18, 43, 27, 33, 20, 16]"
5,0.6875,0.5,0.3125,"[11, 29, 49, 46, 18, 18, 22, 35]","[21, 33, 31, 9, 18, 33, 37, 25]","[16, 35, 42, 31, 18, 37, 3, 45]","[16, 35, 31, 36, 18, 34, 38, 30]","[31, 29, 32, 24, 21, 32, 33, 16]"
6,0.875,0.5,0.125,"[16, 24, 40, 44, 20, 21, 31, 21]","[11, 29, 49, 46, 18, 18, 22, 35]","[16, 35, 31, 36, 18, 34, 38, 30]","[20, 29, 5, 20, 19, 48, 30, 26]","[37, 19, 24, 46, 18, 0, 22, 21]"
7,0.6875,0.5,0.25,"[16, 24, 40, 44, 20, 21, 31, 21]","[12, 13, 33, 45, 19, 28, 3, 28]","[12, 50, 29, 37, 36, 19, 14, 31]","[17, 43, 29, 37, 33, 29, 31, 17]","[19, 27, 16, 27, 19, 40, 30, 24]"
8,0.8125,0.5,0.0625,"[13, 23, 49, 22, 24, 21, 30, 41]","[12, 13, 33, 45, 19, 28, 3, 28]","[12, 13, 33, 45, 19, 28, 3, 28]","[16, 24, 40, 44, 20, 21, 31, 21]","[45, 33, 29, 0, 34, 27, 28, 5]"
9,0.5625,0.5,0.375,"[13, 23, 49, 22, 24, 21, 30, 41]","[16, 24, 40, 44, 20, 21, 31, 21]","[13, 23, 49, 22, 24, 21, 30, 41]","[50, 24, 24, 44, 7, 45, 31, 21]","[12, 13, 33, 45, 19, 28, 3, 28]"
=== Stage 4/4 ===
range: 37:50
generations: 10
pop_size: 5
mutation_prob: 0.4
k_opponents: 4
depth: 2
max_moves: 30
genome_length: 8
mutation_rate: 0.5
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.5625,0.5,0.3125,"[41, 37, 44, 37, 48, 41, 41, 46]","[49, 46, 47, 42, 42, 46, 37, 49]","[45, 41, 45, 48, 49, 41, 50, 39]","[44, 49, 44, 46, 48, 39, 46, 43]","[40, 41, 48, 37, 43, 50, 45, 43]"
1,0.875,0.5,0.25,"[8, 5, 11, 45, 16, 45, 16, 40]","[47, 44, 46, 44, 45, 44, 42, 45]","[41, 37, 44, 37, 48, 41, 41, 46]","[15, 43, 46, 46, 14, 43, 40, 34]","[48, 27, 40, 20, 45, 44, 39, 0]"
2,0.875,0.5,0.1875,"[8, 5, 11, 45, 16, 45, 16, 40]","[9, 6, 12, 45, 17, 45, 17, 40]","[10, 15, 20, 45, 15, 44, 22, 38]","[13, 33, 37, 46, 15, 44, 34, 36]","[40, 36, 43, 37, 47, 41, 40, 46]"
3,0.5,0.5,0.5,"[8, 5, 11, 45, 16, 45, 16, 40]","[8, 5, 11, 45, 16, 45, 16, 40]","[45, 5, 11, 34, 12, 31, 8, 40]","[9, 6, 12, 45, 17, 45, 17, 40]","[8, 5, 11, 45, 16, 45, 16, 40]"
4,0.625,0.5,0.4375,"[35, 6, 12, 1, 17, 23, 40, 43]","[22, 5, 11, 24, 16, 4, 29, 46]","[38, 6, 47, 43, 17, 50, 19, 40]","[8, 5, 11, 45, 16, 45, 16, 40]","[8, 5, 11, 45, 16, 45, 16, 40]"
5,0.5625,0.5,0.3125,"[35, 6, 12, 1, 17, 23, 40, 43]","[8, 5, 11, 45, 16, 0, 24, 40]","[22, 5, 11, 34, 29, 4, 29, 36]","[22, 5, 11, 24, 16, 4, 29, 46]","[31, 5, 22, 45, 21, 15, 45, 40]"
6,0.8125,0.5,0.375,"[30, 6, 12, 14, 22, 16, 36, 40]","[27, 5, 11, 21, 24, 11, 5, 39]","[22, 5, 11, 50, 25, 4, 29, 39]","[35, 6, 12, 1, 17, 23, 40, 43]","[22, 5, 11, 27, 28, 4, 29, 3]"
7,0.9375,0.5,0.3125,"[27, 6, 12, 19, 24, 11, 33, 26]","[25, 5, 11, 6, 26, 9, 3, 17]","[30, 6, 12, 14, 22, 16, 36, 40]","[30, 6, 12, 14, 22, 16, 36, 40]","[30, 6, 12, 14, 22, 16, 36, 40]"
8,0.875,0.5,0.0,"[27, 6, 12, 19, 24, 11, 33, 26]","[29, 6, 12, 12, 23, 14, 27, 34]","[30, 6, 12, 14, 22, 16, 36, 40]","[26, 5, 11, 13, 2, 14, 31, 23]","[19, 6, 12, 30, 22, 16, 36, 14]"
9,0.6875,0.5,0.3125,"[21, 6, 12, 40, 28, 37, 27, 34]","[27, 6, 12, 19, 24, 11, 33, 26]","[44, 6, 47, 12, 23, 14, 27, 34]","[27, 5, 11, 13, 7, 14, 30, 26]","[28, 6, 12, 20, 18, 38, 22, 3]"
=== Final Combined Round ===
range: 0:50
generations: 15
pop_size: 20
mutation_prob: 0.4
k_opponents: 6
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.5
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
0,0.75,0.5,0.25,"[37, 32, 9, 15, 36, 36, 26, 10]","[27, 6, 12, 19, 24, 11, 33, 26]","[35, 39, 9, 13, 40, 39, 19, 14]","[21, 6, 12, 40, 28, 37, 27, 34]","[39, 25, 9, 16, 33, 32, 33, 7]"
