# Nonaga GA Run
# run_name: ga_gen_100
# timestamp: 2026-05-08T02:15:18
# raw_cli_args: --mode slurm --run-name ga_gen_100 --final-generations 100 --stage-generations 0 --stage-pop-size 14
# full_run_parameters:
#   final_generations: 100
#   log_file: /users/sc23ksk/nonaga-algorithm/GA results/ga_gen_100.csv
#   mode: slurm
#   run_name: ga_gen_100
#   stage_generations: 0
#   stage_k_opponents: 4
#   stage_pop_size: 14

=== Final Combined Round ===
range: 0:50
generations: 100
pop_size: 56
mutation_prob: 0.6
k_opponents: 12
depth: 3
max_moves: 30
genome_length: 8
mutation_rate: 0.8
Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome
35,0.7916666666666666,0.5,0.14583333333333334,"[20, 24, 20, 35, 28, 31, 20, 40]","[38, 35, 28, 23, 17, 22, 38, 8]","[29, 31, 25, 22, 18, 32, 40, 10]","[29, 42, 34, 17, 27, 6, 20, 25]","[21, 27, 28, 8, 11, 27, 44, 33]"
36,0.875,0.5000000000000001,0.125,"[26, 44, 12, 0, 7, 20, 21, 27]","[24, 29, 23, 22, 18, 37, 42, 11]","[43, 18, 26, 37, 33, 24, 26, 32]","[33, 34, 32, 22, 28, 6, 25, 28]","[36, 6, 21, 36, 38, 0, 3, 27]"
37,0.75,0.5,0.25,"[29, 39, 6, 2, 8, 41, 21, 19]","[32, 18, 25, 25, 27, 16, 32, 29]","[2, 26, 39, 41, 15, 34, 5, 39]","[41, 9, 25, 31, 22, 23, 40, 28]","[10, 43, 33, 11, 32, 24, 24, 34]"
38,0.7916666666666666,0.5000000000000001,0.25,"[30, 31, 21, 20, 27, 35, 35, 17]","[48, 12, 30, 32, 23, 33, 45, 24]","[29, 39, 6, 2, 8, 41, 21, 19]","[43, 37, 48, 8, 18, 15, 44, 0]","[21, 28, 11, 42, 14, 22, 29, 25]"
39,0.7916666666666666,0.5000000000000001,0.14583333333333334,"[30, 31, 21, 20, 27, 35, 35, 17]","[50, 50, 19, 24, 30, 46, 41, 27]","[6, 41, 16, 16, 17, 20, 34, 9]","[22, 2, 45, 32, 18, 31, 33, 15]","[1, 6, 4, 21, 15, 16, 17, 23]"
40,0.75,0.5,0.1875,"[24, 12, 14, 46, 39, 4, 15, 18]","[41, 15, 21, 8, 22, 25, 11, 38]","[30, 31, 21, 20, 27, 35, 35, 17]","[45, 37, 49, 7, 19, 15, 46, 5]","[12, 4, 22, 13, 42, 11, 42, 25]"
41,0.75,0.4999999999999999,0.25,"[17, 50, 49, 15, 22, 35, 49, 47]","[3, 10, 40, 14, 14, 42, 24, 13]","[35, 43, 3, 44, 33, 50, 3, 47]","[22, 3, 3, 42, 7, 20, 29, 26]","[36, 6, 47, 25, 3, 48, 41, 21]"
42,0.8541666666666666,0.5000000000000001,0.16666666666666666,"[36, 4, 32, 36, 37, 31, 42, 26]","[37, 14, 12, 40, 33, 8, 26, 45]","[34, 19, 18, 28, 11, 27, 33, 41]","[24, 8, 29, 44, 36, 38, 49, 44]","[27, 18, 25, 27, 13, 26, 33, 8]"
43,0.7916666666666666,0.5,0.16666666666666666,"[37, 18, 17, 47, 38, 37, 40, 34]","[36, 4, 32, 36, 37, 31, 42, 26]","[39, 32, 18, 26, 11, 37, 25, 24]","[28, 8, 39, 30, 14, 5, 24, 28]","[38, 13, 20, 25, 17, 33, 44, 28]"
44,0.75,0.5000000000000002,0.125,"[48, 37, 22, 32, 27, 31, 8, 46]","[0, 25, 11, 44, 28, 23, 21, 11]","[7, 31, 9, 6, 16, 30, 35, 35]","[26, 9, 25, 32, 31, 39, 19, 39]","[2, 4, 16, 16, 35, 15, 24, 8]"
45,0.6875,0.49999999999999983,0.16666666666666666,"[30, 10, 19, 15, 29, 16, 38, 44]","[19, 35, 10, 27, 27, 28, 41, 38]","[32, 27, 18, 17, 36, 18, 23, 16]","[6, 15, 21, 25, 27, 6, 21, 27]","[37, 24, 5, 39, 25, 29, 33, 6]"
46,0.7708333333333334,0.5000000000000001,0.16666666666666666,"[3, 26, 34, 44, 49, 41, 44, 49]","[11, 35, 29, 40, 19, 19, 45, 29]","[16, 23, 9, 37, 11, 5, 40, 48]","[30, 10, 19, 15, 29, 16, 38, 44]","[31, 38, 41, 40, 17, 26, 45, 14]"
47,0.8333333333333334,0.5,0.16666666666666666,"[11, 19, 32, 43, 24, 24, 36, 26]","[20, 13, 21, 36, 31, 33, 32, 30]","[24, 17, 21, 41, 30, 34, 38, 32]","[17, 13, 26, 29, 18, 27, 25, 29]","[13, 41, 8, 34, 23, 47, 36, 6]"
48,0.8125,0.5000000000000001,0.16666666666666666,"[26, 19, 11, 2, 32, 2, 31, 50]","[18, 20, 28, 40, 29, 26, 30, 26]","[31, 0, 11, 39, 24, 12, 12, 20]","[24, 20, 24, 38, 34, 27, 26, 27]","[42, 18, 29, 14, 23, 47, 50, 33]"
49,0.75,0.4999999999999999,0.20833333333333334,"[18, 2, 49, 23, 31, 2, 19, 28]","[11, 22, 23, 24, 25, 20, 38, 17]","[12, 18, 23, 16, 25, 8, 36, 32]","[16, 13, 31, 39, 23, 20, 30, 33]","[35, 26, 10, 27, 30, 27, 19, 41]"
50,0.8333333333333334,0.5000000000000001,0.20833333333333334,"[25, 34, 48, 9, 22, 21, 42, 17]","[22, 19, 18, 36, 30, 23, 26, 33]","[27, 32, 3, 46, 20, 20, 40, 24]","[26, 29, 20, 24, 32, 18, 34, 23]","[0, 8, 3, 29, 25, 7, 37, 32]"
51,0.8125,0.49999999999999994,0.16666666666666666,"[4, 28, 1, 11, 6, 28, 31, 41]","[9, 26, 0, 8, 8, 30, 32, 16]","[18, 4, 48, 24, 31, 2, 19, 29]","[19, 3, 48, 22, 29, 2, 19, 27]","[25, 34, 48, 9, 22, 21, 42, 17]"
52,0.8125,0.5,0.16666666666666666,"[40, 27, 36, 23, 35, 8, 28, 34]","[25, 21, 24, 19, 26, 13, 30, 31]","[6, 26, 4, 12, 6, 30, 33, 40]","[0, 13, 9, 21, 47, 14, 4, 44]","[4, 28, 1, 11, 6, 28, 31, 41]"
53,0.8333333333333334,0.5000000000000001,0.16666666666666666,"[12, 13, 15, 26, 36, 4, 15, 23]","[27, 48, 8, 23, 36, 8, 10, 9]","[25, 20, 26, 19, 26, 12, 29, 31]","[33, 33, 3, 2, 17, 18, 14, 44]","[22, 26, 27, 17, 0, 9, 6, 44]"
54,0.7291666666666666,0.5,0.2916666666666667,"[27, 9, 42, 29, 3, 17, 12, 2]","[19, 30, 25, 22, 26, 49, 23, 19]","[34, 13, 15, 26, 42, 15, 48, 33]","[48, 38, 8, 31, 6, 39, 10, 21]","[15, 30, 36, 19, 9, 26, 37, 17]"
