Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
2,0,-43.95,-115,"[35, -14, 12, -22, 40, 2, 34, 13]","[12, 13, 25, 16, 15, 33, 10, -17]","[12, 13, 26, 15, 15, 34, 11, -17]","[-6, 22, 9, 25, -19, -13, 32, 26]","[-13, 13, 5, 24, -2, -3, 25, 25]","[21, 18, 11, 13, -25, -22, 27, 24]","[6, 1, 21, 3, -2, 18, 20, -1]","[-7, 18, 8, 25, -17, -7, 28, 16]","[4, 5, 15, 9, -21, -1, 31, 19]","[-5, 17, 8, 23, -17, -5, 27, 13]"
3,0,-30.65,-61,"[35, -14, 12, -22, 40, 2, 34, 13]","[12, 13, 26, 15, 15, 34, 11, -17]","[12, 13, 26, 15, 15, 34, 11, -17]","[4, 15, 18, 20, 2, 17, 17, -4]","[1, 16, 15, 21, 2, 9, 21, 3]","[7, 11, 19, 18, 6, 23, 14, -10]","[11, 11, 20, 15, 6, 25, 12, -15]","[-12, 13, 5, 24, -4, -3, 25, 24]","[-3, 17, 11, 21, -20, -10, 32, 24]","[1, 10, 13, 13, -20, -4, 31, 21]"
4,0,-28.5,-56,"[35, -14, 12, -22, 40, 2, 34, 13]","[7, 14, 21, 18, 9, 23, 16, -8]","[6, 15, 20, 18, 8, 20, 16, -6]","[8, 11, 20, 17, 8, 25, 13, -11]","[3, 14, 16, 19, -5, 9, 22, 5]","[0, 16, 14, 21, -1, 6, 22, 5]","[17, -1, 10, -3, 16, -1, 31, 13]","[12, 4, 10, 4, 9, -2, 30, 14]","[9, 16, 12, 15, 4, -5, 13, 5]","[24, 11, 10, 3, -11, -19, 26, 23]"
5,0,-23.85,-46,"[35, -14, 12, -22, 40, 2, 34, 13]","[32, -12, 12, -19, 37, 2, 34, 13]","[6, 15, 19, 18, 8, 18, 16, -5]","[10, 8, 16, 12, 8, 14, 20, -1]","[10, 7, 14, 9, 9, 9, 23, 4]","[20, -3, 10, -6, 19, -1, 31, 13]","[2, 14, 13, 18, 1, 4, 24, 7]","[3, 14, 16, 19, -5, 9, 22, 5]","[3, 14, 16, 19, -5, 9, 22, 5]","[6, 10, 15, 15, 1, 12, 17, 3]"
6,0,-20.95,-53,"[35, -14, 12, -22, 40, 2, 34, 13]","[32, -12, 12, -19, 36, 3, 33, 12]","[22, -3, 13, -6, 23, 4, 30, 10]","[27, -6, 12, -11, 29, 0, 29, 11]","[19, 0, 14, -2, 18, 5, 28, 9]","[13, 5, 15, 6, 9, 7, 26, 8]","[6, 12, 16, 16, -1, 8, 23, 6]","[10, 8, 16, 12, 8, 13, 19, -1]","[19, -2, 10, -4, 18, 0, 30, 12]","[7, 9, 13, 12, 5, 6, 24, 6]"
7,0,-15.25,-46,"[35, -14, 12, -22, 40, 2, 34, 13]","[29, -9, 12, -15, 32, 3, 32, 11]","[22, -3, 13, -6, 23, 4, 30, 10]","[22, -3, 13, -6, 23, 4, 30, 10]","[22, -3, 14, -6, 22, 5, 29, 10]","[18, 1, 14, 0, 17, 6, 27, 8]","[25, -4, 12, -8, 27, 1, 27, 10]","[21, -2, 13, -4, 21, 3, 28, 10]","[22, -1, 13, -4, 23, 3, 24, 9]","[25, -5, 12, -9, 26, 0, 28, 11]"
8,0,-10.05,-22,"[35, -14, 12, -22, 40, 2, 34, 13]","[24, -5, 13, 1, 24, 3, 30, 11]","[34, -14, 12, -21, 39, 2, 34, 13]","[33, -12, 12, -20, 37, 2, 33, 13]","[22, -3, 13, -6, 23, 7, 30, 10]","[22, -3, 14, -6, 22, 5, 29, 10]","[22, -3, 13, -6, 23, 4, 30, 10]","[22, -3, 14, -6, 22, 5, 29, 10]","[22, -3, 14, -6, 22, 5, 29, 10]","[18, 1, 14, 0, 17, 6, 27, 8]"
9,0,-9.35,-50,"[35, -14, 12, -22, 40, 2, 34, 13]","[34, -14, 12, -21, 39, 2, 34, 13]","[32, -11, 12, -19, 36, 2, 33, 13]","[31, -11, 12, -17, 35, 3, 33, 12]","[30, -10, 13, -16, 34, 3, 32, 12]","[33, -12, 12, -20, 37, 2, 33, 13]","[31, -11, 12, -17, 35, 2, 33, 12]","[29, -9, 12, -16, 33, 3, 32, 12]","[25, -6, 13, -10, 27, 4, 31, 11]","[26, -6, 13, -10, 27, 3, 31, 11]"
0,-1,-114.9,-293,"[-16, -15, 25, 7, 29, 30, 26, 15]","[46, 26, 5, 42, 9, -12, 28, -28]","[4, 31, 32, 37, -10, -33, -23, 43]","[-40, -13, -15, 4, 9, 44, 38, 48]","[-5, 13, 35, 16, 36, 30, -32, -22]","[45, 35, 42, -26, -46, -42, 38, 23]","[21, 0, -36, 17, 10, 0, 42, 14]","[9, 41, -43, 20, 32, -2, -22, 24]","[7, 40, 25, 30, -42, -28, -17, 43]","[-47, 46, 23, 31, 25, 25, -49, -42]"
0,-10,-116.1,-277,"[36, 18, -2, 2, -36, 45, 1, 26]","[47, -49, -36, 36, 47, 48, -24, 44]","[11, 34, -32, 10, -22, 37, 0, 28]","[16, -5, 15, 49, -30, 30, 26, 43]","[-46, 30, -16, 11, 10, 27, -7, 46]","[37, 5, 16, -13, 1, 34, -7, -23]","[-50, 23, -8, -23, 33, 23, 18, 25]","[49, -26, 21, -32, 28, -36, 21, -7]","[-47, 35, 37, 21, 21, -10, -40, -14]","[15, -11, -24, 45, 22, 37, -36, -49]"
