Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
2,-2,-63.15,-137,"[39, 18, -35, 35, -31, -2, 33, 45]","[37, -41, -4, 41, -6, 17, 46, 20]","[9, 0, 5, 41, 2, 4, 9, 20]","[5, -8, 1, 41, -6, 17, 46, 20]","[-5, -27, -4, 41, -6, 17, 46, 20]","[-38, 30, -4, 4, 47, 2, 33, 45]","[3, 30, -4, 41, -6, 17, 46, 20]","[38, 15, -7, 35, 48, -7, -8, 37]","[49, -13, 50, -46, -31, -2, -10, 46]","[-38, 30, -35, 35, -31, -2, 33, 45]"
3,-2,-32.85,-113,"[39, 18, -35, 35, -31, -2, 33, 45]","[3, 30, -4, 41, -6, -2, -10, 46]","[37, -41, -4, 41, 8, 17, 46, 3]","[5, -8, 1, 41, -6, -2, 33, 45]","[39, 18, -35, 35, -31, 17, 46, 20]","[37, -41, -4, 41, -6, 17, 46, 20]","[-38, 8, 6, 41, -6, -2, 33, 45]","[38, 15, -7, 35, 2, 4, 9, 20]","[5, -8, 1, 41, -6, 17, 46, 20]","[5, -8, 1, 41, -6, 17, 46, 20]"
4,-1,-30.2,-91,"[5, -8, 1, 41, -6, -2, 33, 37]","[39, 18, -35, 35, -31, -2, 33, 45]","[5, -8, 1, 41, -31, 17, 46, 20]","[5, -8, 1, 41, -6, -2, 33, 45]","[37, -41, -4, 41, -6, 17, 46, 20]","[-38, 8, 1, 41, -6, 17, 46, 20]","[5, -8, 1, 41, 8, 17, 46, 3]","[5, -8, 6, 41, -6, -2, 33, 45]","[5, -8, 1, 41, 5, 17, 46, 10]","[38, 15, 5, 41, 2, -7, -8, 37]"
5,0,-23.15,-59,"[5, 18, -35, 35, -6, 17, 46, 20]","[5, -8, 1, 41, -6, -2, 33, 37]","[5, -8, 1, 41, -6, -2, 33, 45]","[5, -8, 1, 41, -6, -2, 33, 45]","[37, -41, 1, 41, -31, 17, 46, 20]","[-38, 8, 1, 41, -6, 17, 46, 20]","[38, 15, -7, 6, 2, 4, 9, 20]","[5, -8, 1, 41, 8, 17, 46, 3]","[5, -8, 1, 41, 5, 17, 46, 10]","[37, 15, 5, 41, 2, -7, -8, 37]"
6,0,-34.05,-88,"[5, 18, -35, 35, -6, 17, 46, 20]","[8, -41, -4, 41, 7, 17, 33, 37]","[37, -41, -4, 41, -6, -2, 33, 45]","[39, 18, -35, 35, -31, -2, 33, 37]","[5, -8, 1, 41, -6, -2, 33, 20]","[5, -8, 6, 35, 48, -7, -8, 45]","[5, 8, 1, 41, 8, 3, 33, 20]","[10, 6, 4, 41, -6, -2, 46, 20]","[39, 0, -35, 35, -31, 17, 46, 3]","[-38, 8, 1, 41, -6, 17, 46, 3]"
7,0,-36.5,-113,"[5, 18, -35, 35, -6, 17, 46, 20]","[9, -41, 1, 41, 7, 17, 33, 37]","[-38, 8, 1, 41, 7, 17, 33, 37]","[6, 6, -4, 41, 7, 1, 46, 3]","[5, -8, 6, 35, 48, -7, -8, 20]","[9, 8, 5, 41, 2, -7, -8, 37]","[10, 6, 4, 41, -6, 17, 46, 3]","[37, -41, -4, 41, 8, 17, 46, 20]","[5, -8, 1, 35, 10, -7, -8, 45]","[38, -41, 5, 41, 2, 17, 46, 20]"
8,0,-30.4,-99,"[5, 18, -35, 35, -6, 17, 46, 20]","[37, -41, 4, 41, -6, -2, 46, 20]","[5, -8, 1, 35, 10, -7, 46, 20]","[10, 6, 4, 4, 9, 17, 46, 9]","[37, -41, -4, 41, 8, 17, 46, 3]","[5, -8, 6, 35, -6, 17, 46, 20]","[5, 8, 1, 41, 8, 3, 33, 20]","[6, 6, -4, 41, 7, -2, 46, 20]","[1, 6, 0, 41, 8, 17, 0, 7]","[-38, 8, 1, 41, 7, 17, 33, 3]"
9,0,-25.45,-104,"[5, 18, -35, 35, -6, 17, 46, 20]","[37, -41, 4, 41, -6, -2, 46, 20]","[37, -41, 4, 41, -6, -2, 46, 20]","[37, -41, -4, 41, 7, -2, 46, 20]","[1, 6, 4, 4, 9, 17, 46, 9]","[10, 6, 0, 41, 8, 17, 0, 7]","[1, 6, 0, 35, 10, -7, 46, 20]","[0, 10, 3, 41, 7, 17, 0, 7]","[5, -8, 6, 35, -6, 17, 46, 20]","[6, 6, -4, 41, 8, 17, 46, 3]"
0,-20,-92.9,-247,"[16, -42, -4, 2, 37, 10, 45, 16]","[46, 20, 26, 11, -26, -9, -38, 49]","[-17, 46, 25, 36, -7, -39, 36, -6]","[16, 12, 0, -40, 29, 6, -5, 47]","[23, -5, 42, -18, 0, 50, 42, 9]","[17, 44, -49, -20, -39, 46, 11, 25]","[16, 41, -27, -4, 11, 45, -11, -37]","[44, 33, 31, 16, -10, 24, 20, 12]","[34, -22, 25, -46, -40, 47, 43, -15]","[8, 5, 7, 43, -43, -35, 46, -12]"
1,-11,-68.1,-170,"[-36, 41, -4, 2, 37, 10, 45, 16]","[16, 12, 8, 2, 37, 3, 0, 10]","[16, -42, -4, 2, 37, 10, 45, 16]","[46, 20, 26, 11, -26, -9, -38, 49]","[46, 20, 26, 11, -26, -9, -38, 49]","[46, 20, 26, 11, -26, 45, -11, -37]","[16, 41, -27, -4, 0, 50, 42, 9]","[8, 5, 7, 2, 37, 10, 45, 16]","[16, -42, -4, 2, 37, 10, 20, 12]","[23, -5, 42, -18, 11, 45, -11, -37]"
2,-7,-54.25,-141,"[3, 20, 1, 2, 10, 10, 45, 16]","[-36, 41, -4, 2, 37, 10, 45, 16]","[16, 12, 8, 2, 37, 3, 0, 10]","[16, 12, 8, 2, 37, 3, 0, 10]","[44, -18, -1, 16, 12, -29, 7, 49]","[46, 20, 26, 11, -26, 45, -11, 16]","[16, 6, -4, 2, 37, 10, 45, 16]","[8, 5, 7, 2, 37, 10, 45, 16]","[8, 5, 7, 2, 37, 10, 45, 16]","[8, 5, 7, 2, 37, 10, 45, 16]"
3,-3,-54.85,-180,"[16, 41, 5, -4, 12, -29, 7, 49]","[16, 12, 8, 2, 37, 3, 0, 16]","[3, 20, 1, 2, 10, 10, 45, 16]","[-36, 41, -4, 11, 10, 10, 45, 16]","[16, 41, -4, 2, 37, 10, 0, 10]","[8, 5, 7, 2, 37, 10, 45, 10]","[0, 6, 8, 2, 37, 10, 45, 16]","[16, 41, -4, 2, 2, 10, 0, 8]","[16, 6, -4, 2, 12, -29, 7, 49]","[16, 10, 8, 2, 37, 10, 45, 16]"
4,-3,-33.85,-103,"[16, 41, 5, -4, 12, -29, 7, 49]","[16, 41, 5, 9, 12, -29, 0, 49]","[16, 12, 8, 2, 37, 10, 0, 10]","[14, 41, -4, 2, 12, -29, 7, 49]","[16, 41, -4, 2, 37, 3, 0, 16]","[16, 41, -4, 2, 2, 10, 0, 16]","[12, 8, 7, 2, 37, 10, 45, 3]","[16, 41, -4, 2, 2, 10, 0, 8]","[16, 41, -4, 2, 37, -9, 4, -15]","[16, 41, -4, 2, 2, 10, 45, 16]"
5,-2,-27.65,-66,"[16, 12, 8, 2, 37, -29, 7, 49]","[16, 41, 5, -4, 12, -29, 7, 49]","[14, 41, 5, -4, 12, -29, 7, 49]","[16, 41, -4, 2, 12, -29, 7, 49]","[12, 8, 7, 2, 37, -29, 7, 49]","[14, 41, -4, 2, 37, 3, 0, 16]","[8, 1, 8, 2, 37, 10, 0, 49]","[16, 41, -4, 2, 2, 10, 0, 16]","[16, 41, -4, 2, 2, 10, 0, 16]","[16, 41, 5, -4, 12, 10, 45, 3]"
6,-1,-23.75,-47,"[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 2, 37, -29, 7, 49]","[16, 41, 5, 9, 12, -29, 0, 49]","[16, 41, -4, 2, 2, 10, 0, 49]","[16, 41, -4, 2, 2, -29, 7, 49]","[16, 41, -4, 2, 2, 10, 0, 16]","[16, 41, 7, 2, 37, 3, 8, 3]","[14, 41, -4, 2, 37, 3, 8, 16]","[16, 41, -4, 2, 37, -29, 7, 49]","[16, 41, -4, 2, 37, -29, 7, 49]"
7,-1,-23.6,-59,"[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 9, 37, 10, 0, 10]","[16, 41, -4, 2, 12, -29, 7, 49]","[16, 41, -4, 9, 12, -29, 0, 49]","[16, 41, 5, 2, 2, 10, 0, 16]","[16, 41, -4, 2, 37, -29, 7, 16]","[16, 41, -4, 2, 2, 10, 0, 49]","[16, 41, -4, 2, 2, -29, 7, 49]","[16, 41, 7, 2, 37, 3, 8, 3]","[16, 41, -4, 2, 37, -29, 7, 49]"
8,-1,-20.25,-63,"[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 2, 2, 10, 0, 49]","[16, 12, 8, 2, 37, 10, 0, 16]","[10, 12, 8, 0, 8, 10, 1, 49]","[16, 41, 5, 2, 2, 10, 0, 16]","[16, 41, -4, 9, 12, 3, 8, 3]","[16, 41, -4, 2, 2, -29, 7, 49]","[16, 41, 7, 2, 37, 3, 8, 3]","[16, 41, -4, 2, 2, 10, 0, 16]"
9,-1,-21.8,-64,"[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 2, 37, 10, 0, 16]","[16, 12, 8, 2, 37, -29, 7, 49]","[0, 41, 7, 2, 37, 4, 0, 0]","[16, 12, 8, 2, 37, 3, 8, 3]","[16, 12, 8, 2, 37, 3, 8, 3]","[16, 12, 8, 2, 37, 3, 8, 3]","[16, 12, 8, 2, 37, 3, 8, 3]","[16, 41, -4, 2, 2, -29, 7, 49]"
0,-24,-105.1,-213,"[-48, 37, 7, 12, 29, 25, -27, 41]","[48, 7, 44, -29, -8, 49, 10, -45]","[27, 37, 31, -8, 40, -13, 15, -1]","[29, -1, -29, 24, -2, 12, 32, -7]","[35, 26, -24, 19, 37, 4, 9, 37]","[19, -9, -14, 47, -50, 32, 21, -1]","[-42, 33, 48, 6, -32, 29, -42, 27]","[-44, 41, 50, 7, -16, 5, -46, 24]","[28, 41, 23, 42, 7, -10, 39, 22]","[-39, 24, -6, 3, 39, -8, -38, 25]"
1,-3,-77.05,-200,"[35, -42, 23, 28, 38, 3, 0, 18]","[35, 26, -24, 19, 40, -13, 15, -1]","[19, 41, 50, 7, -16, 5, -46, 24]","[-48, 37, 7, 12, 29, 25, -27, 41]","[27, 37, 31, -8, 37, 4, 9, 4]","[48, 7, 44, -29, -8, 49, 3, 27]","[-50, 26, -24, 19, 37, 4, 9, 37]","[29, 19, 50, -27, 29, -27, 7, -22]","[-42, 33, 48, 6, -32, 41, -4, -3]","[-48, 37, 7, -8, 40, 4, 15, -1]"
2,-3,-48.25,-117,"[35, -42, 23, 28, 38, 3, 0, 18]","[19, 37, 7, -8, 40, 4, 15, -1]","[27, 37, 31, -8, 5, 41, -28, 10]","[19, 41, 50, 7, -16, 5, -46, 24]","[19, 41, 50, 7, -16, 5, -46, 18]","[-44, 41, 50, 9, -16, 3, 10, 24]","[50, -49, 8, 7, 38, 3, 0, 18]","[-48, 37, 44, -29, -8, 49, 3, 27]","[35, -42, 23, 28, 5, 41, -28, 10]","[27, 37, 7, -8, 37, 4, 32, -7]"
3,-3,-71.95,-151,"[35, -42, 23, 28, 38, 3, 0, 18]","[50, -49, 8, 7, 37, 4, 9, 10]","[19, 37, 7, 7, 38, 3, 0, 18]","[19, 41, 50, 6, -16, 5, 1, 24]","[27, 37, 8, 7, 38, 3, 0, 18]","[50, -49, 8, -8, 40, 4, 15, -1]","[27, 37, 7, -8, 37, 4, 32, 10]","[19, 37, 7, -8, 40, 32, 21, -1]","[50, -49, 8, 7, 5, 41, -28, 10]","[9, 7, 50, 7, -16, 5, -46, 24]"
4,-3,-48.8,-168,"[35, -42, 23, 28, 38, 3, 0, 18]","[27, 37, 4, 0, 6, 3, 0, 18]","[27, 37, 7, 7, 5, 41, -28, 10]","[35, -42, 23, 28, 37, 4, 32, -7]","[50, -49, 8, -8, 37, 4, 32, 10]","[19, 41, 50, 6, -16, 5, 21, -1]","[35, -42, 7, 6, 37, 4, 32, -7]","[19, 41, 50, 6, -16, 3, 8, 18]","[9, 7, 50, 7, 40, 4, 15, -1]","[1, -49, 23, 28, 38, 3, 0, 18]"
5,-2,-44.85,-121,"[50, -49, -14, 47, 5, 41, 0, 18]","[35, -42, 23, 28, 38, 3, 0, 18]","[35, -42, 23, 28, 37, 4, 32, -7]","[19, 41, 50, 6, -16, 3, 0, 18]","[9, 7, 23, 28, 38, 3, 0, 18]","[19, 41, 50, 6, -16, 3, 8, 18]","[19, 41, 50, 6, -16, 3, 8, 18]","[27, 37, 4, 0, 6, 3, 0, -7]","[1, -49, 23, 28, 38, 3, 8, 18]","[8, 8, 50, 7, 38, 3, 0, 18]"
6,0,-34.7,-129,"[1, -49, 50, 7, 37, 4, 32, 18]","[35, -42, 23, 28, 40, 4, 10, 2]","[50, -49, -14, 47, 5, 41, 0, 18]","[27, 37, 4, 0, 6, 3, 0, 18]","[27, 37, 4, 6, -16, 3, 8, 18]","[8, 8, 50, 7, -16, 3, 8, 18]","[35, -42, 23, 7, 38, 3, 0, 18]","[19, 41, 50, 6, -16, 3, 0, 18]","[35, -42, 23, 28, 38, 3, 0, -7]","[27, -42, 23, 28, 37, 4, 32, 18]"
7,0,-35.3,-85,"[1, -49, 50, 7, 37, 4, 32, 18]","[35, -42, 23, 28, 40, 4, 10, 2]","[35, -42, 23, 28, 40, 4, 10, 2]","[19, 41, 50, 6, -16, 2, 0, 8]","[19, 5, 50, 0, 5, 7, 8, 18]","[27, 37, 4, 6, -16, 3, 8, 18]","[8, 41, 50, 6, 5, 2, 0, 8]","[19, 41, 50, 6, -16, 3, 0, 18]","[27, 37, 2, 6, 1, 3, 0, 1]","[1, -49, 50, 7, 37, 4, 0, 18]"
8,0,-25.65,-74,"[1, -49, 50, 7, 37, 4, 32, 18]","[35, -42, 23, 28, 40, 3, 9, 3]","[27, 37, 2, 2, 9, 0, 0, 18]","[19, 41, 50, 0, -16, 10, 0, 2]","[19, -49, 50, 7, 7, 8, 32, 18]","[27, 37, 4, 6, -16, 7, 8, 18]","[19, 8, 50, 3, 5, 3, 8, 18]","[7, 8, 50, 4, 38, 0, 0, 8]","[7, 8, 50, 4, 38, 3, 0, 8]","[19, 41, 50, 6, -16, 3, 0, 18]"
9,0,-31.75,-105,"[1, -49, 50, 7, 37, 4, 32, 18]","[19, 41, 50, 0, -16, 3, 0, 8]","[35, -42, 50, 4, 38, 0, 0, 8]","[19, 41, 2, 2, 9, 0, 0, 18]","[19, 41, 50, 6, -16, 3, 0, 8]","[7, 8, 50, 4, 38, 3, 0, 2]","[7, 10, 6, 9, 38, 10, 0, 2]","[2, 6, 50, 4, 7, 10, 0, 3]","[27, 37, 4, 6, -16, 3, 0, 18]","[7, 8, 50, 4, 38, 0, 0, 18]"
0,-3,-106.7,-234,"[3, 2, 14, 11, 28, -19, 48, 10]","[31, -25, -20, 45, -2, -9, 30, 46]","[-30, 38, 0, 16, 25, -3, 4, 12]","[9, 19, -23, 42, -19, 49, 42, 29]","[11, -15, -16, 16, 10, 4, 2, 38]","[13, -23, 27, -30, 36, -32, 8, 33]","[18, 32, -20, 46, -41, 40, -21, -28]","[13, 43, 23, -7, -33, 11, -30, 1]","[25, 17, 16, 3, 4, 15, -22, -46]","[23, -40, 45, -43, -18, 14, 29, -15]"
1,-3,-59.45,-179,"[3, 2, 14, 11, 28, -19, 48, 10]","[-30, 38, 0, 16, 25, -3, 4, 46]","[46, -18, -10, 5, 44, -50, 30, 46]","[9, 38, 0, 16, 25, -44, 22, 26]","[-37, 34, 15, 11, 28, -19, 48, 10]","[13, -23, 27, -30, 36, -9, 30, 46]","[3, 2, 14, 2, 28, -19, 48, 10]","[-30, 38, 0, 16, 10, 4, 2, 38]","[7, -19, 0, 42, -19, 49, 42, 29]","[31, -25, -20, 45, -2, -9, 30, 12]"
2,-1,-29.25,-66,"[3, 1, 14, 2, 28, 5, 22, 26]","[3, 2, 14, 11, 28, -19, 48, 10]","[13, 38, 0, 16, 25, -44, 22, 26]","[31, -25, 27, -30, 36, -9, 30, 46]","[9, 38, 0, 16, 28, -19, 9, 10]","[9, -23, 27, -30, 36, -9, 30, 46]","[9, 38, 0, 16, 25, -44, 22, 18]","[13, 43, 23, -47, 12, -19, 48, 10]","[3, 10, 14, 11, 28, -19, 30, 4]","[46, -18, -10, 5, 44, -50, 48, 10]"
3,-1,-28.85,-62,"[3, 1, 14, 2, 28, 5, 22, 26]","[46, 10, 6, 16, 28, -19, 6, 10]","[9, 4, 6, 16, 25, -3, 4, 46]","[9, 10, 0, 1, 25, -3, 4, 46]","[9, 38, 3, 16, 25, -44, 22, 18]","[9, -23, 27, -30, 36, -9, 30, 46]","[9, 38, 0, 16, 25, -44, 22, 18]","[31, -25, 27, -30, 36, -9, 22, 26]","[3, 2, 14, 11, 28, -9, 30, 46]","[9, 38, 23, -47, 12, -19, 48, 10]"
4,-1,-23.35,-62,"[3, 1, 14, 2, 28, 5, 22, 26]","[3, 4, 6, 16, 25, -3, 4, 46]","[3, 1, 14, 2, 28, 5, 22, 26]","[3, 1, 14, 2, 28, 5, 4, 46]","[9, 4, 6, 9, 2, 10, 10, 46]","[9, 1, 14, 2, 28, 5, 22, 26]","[9, 4, 6, 16, 25, -3, 4, 26]","[9, 4, 6, 16, 25, -3, 4, 26]","[31, -25, 27, -30, 36, -3, 4, 46]","[46, 10, 6, 16, 28, -19, 6, 26]"
5,-1,-15.8,-76,"[3, 1, 14, 2, 28, 5, 22, 26]","[3, 4, 6, 16, 25, -3, 22, 26]","[3, 1, 14, 2, 28, 5, 22, 26]","[46, 2, 14, 16, 25, -44, 22, 18]","[3, 1, 14, 2, 28, 5, 4, 46]","[9, 4, 0, 2, 28, 5, 22, 26]","[31, -25, 8, 8, 36, -3, 22, 18]","[3, 2, 14, 16, 25, -3, 4, 46]","[9, 4, 6, 16, 25, -3, 4, 46]","[3, 1, 14, 2, 25, -3, 4, 46]"
6,-1,-21.75,-61,"[3, 1, 14, 2, 28, 5, 22, 26]","[3, 10, 6, 16, 28, -19, 48, 10]","[46, 2, 14, 16, 25, -44, 22, 26]","[9, 4, 6, 16, 25, -3, 4, 46]","[3, 10, 6, 16, 25, -3, 6, 26]","[13, 10, 6, 16, 28, -19, 6, 26]","[13, 10, 6, 16, 28, -19, 6, 26]","[46, 38, 23, -47, 12, -19, 6, 26]","[13, 10, 6, 16, 25, -3, 4, 46]","[46, 2, 14, 16, 28, -19, 6, 26]"
7,-1,-25.0,-69,"[3, 1, 14, 2, 28, 5, 22, 26]","[13, 10, 6, 16, 28, -3, 6, 26]","[46, 2, 14, 16, 8, 0, 9, 8]","[3, 1, 14, 2, 28, 5, 22, 18]","[4, 38, 23, 5, 9, -19, 6, 26]","[46, 10, 6, 16, 28, -19, 6, 18]","[46, 2, 23, -47, 12, -19, 48, 46]","[46, 38, 23, -47, 12, -19, 6, 26]","[9, 9, 4, 4, 28, 4, 1, 26]","[46, 4, 6, 16, 28, -3, 6, 18]"
8,-1,-23.75,-76,"[3, 1, 14, 2, 28, 5, 22, 26]","[2, 2, 23, 2, 28, 4, 10, 26]","[46, 2, 14, 16, 8, 0, 9, 8]","[13, 10, 6, 16, 28, 4, 1, 26]","[9, 9, 4, 4, 28, 4, 22, 26]","[46, 38, 23, -47, 12, -19, 22, 18]","[4, 38, 23, 5, 9, -19, 6, 26]","[13, 10, 4, 4, 28, 4, 1, 26]","[46, 10, 6, 16, 28, -19, 6, 18]","[9, 9, 4, 4, 12, -19, 48, 46]"
9,-1,-27.1,-81,"[3, 1, 14, 2, 28, 5, 22, 26]","[13, 38, 23, 5, 9, -19, 6, 26]","[46, 38, 23, -47, 12, -19, 22, 26]","[4, 10, 6, 16, 28, 4, 1, 26]","[9, 9, 4, 4, 28, 4, 22, 26]","[46, 2, 23, 16, 12, -19, 6, 26]","[46, 38, 23, -47, 12, -19, 6, 26]","[9, 9, 6, 16, 28, 5, 22, 26]","[9, 9, 4, 4, 28, 4, 9, 8]","[46, 2, 23, 16, 28, -19, 6, 26]"
0,-1,-71.85,-158,"[12, 39, -33, -47, 39, 8, 40, 43]","[44, -34, 25, -3, 50, 36, 25, -48]","[29, 21, 17, 20, 42, -16, -28, -8]","[46, 46, 26, -39, -3, 43, 7, -1]","[-50, 3, 46, 13, 11, 50, 28, -27]","[-21, 49, 24, 33, 35, 19, -39, -26]","[50, -25, 7, 7, 41, -38, 41, -14]","[-1, 24, -22, 12, 4, 6, 36, 6]","[-16, 13, 43, -1, -14, -28, 33, 17]","[-23, 25, 33, -25, 34, -41, 24, 9]"
1,-1,-48.7,-130,"[12, 39, -33, -47, 39, 8, 40, 43]","[14, 10, 36, 10, 10, 30, 0, -16]","[44, -33, 24, -2, 49, 31, 26, -46]","[-21, 49, 24, 33, 35, 19, -38, -26]","[-50, 3, 46, 13, 11, 50, 28, -27]","[-35, -1, 40, 12, 16, 37, 30, -25]","[-49, 6, 44, 9, 6, 47, 26, -26]","[8, 3, 37, -2, 12, 27, -4, -19]","[-50, 3, 5, 13, 11, 50, 27, 0]","[35, -27, 15, 12, 38, -27, 30, -18]"
2,-1,-38.9,-67,"[12, 39, -33, -47, 39, 8, 40, 43]","[13, 11, 36, 11, 10, 30, -1, 0]","[3, 7, 37, 10, 11, 32, 7, -18]","[-24, 2, 39, 12, 15, 35, 23, -23]","[-21, 49, 24, 33, 35, 19, -37, -26]","[7, 3, 37, -2, 12, 27, -4, -19]","[8, 2, 30, -1, 20, 12, 7, -18]","[-49, 3, 5, 13, 11, 50, 27, 0]","[-50, 3, 5, 13, 11, 50, 26, 0]","[35, -27, 15, 12, 38, -27, 30, -18]"
3,-1,-29.35,-89,"[12, 39, -33, -47, 39, 8, 40, 43]","[12, 39, -33, -47, 39, 8, 40, 43]","[12, 39, -33, -47, 39, 8, 40, 43]","[4, 34, -21, -36, 36, 12, 34, 32]","[-3, 24, -3, -23, 29, 19, 33, 16]","[-9, 17, 9, -12, 25, 24, 30, 4]","[10, 7, 36, 5, 11, 29, -2, -9]","[10, 7, 37, 4, 11, 28, -3, -10]","[-7, 7, 38, 13, 13, 32, 5, -21]","[-14, 8, 27, 12, 11, 37, 10, -13]"
4,0,-13.65,-30,"[11, 38, -31, -45, 38, 9, 39, 41]","[-1, 30, -15, 9, 32, 16, 4, 25]","[12, 39, -33, -47, 39, 8, 40, 43]","[11, 29, -18, -33, 34, 10, 33, 29]","[-3, 23, -2, -22, 29, 19, 33, 15]","[2, 22, 6, -14, 25, 21, 21, 8]","[-6, 20, 4, -17, 27, 22, 31, 9]","[-6, 21, 2, -18, 27, 21, 32, 11]","[3, 24, -1, -20, 27, 19, 24, 14]","[11, 20, 9, -17, 22, 20, 14, 11]"
5,0,-9.15,-45,"[11, 38, -31, -45, 38, 9, 39, 41]","[11, 38, -31, -45, 38, 9, 39, 41]","[7, 35, -25, -26, 36, 11, 27, 35]","[3, 33, -21, -10, 34, 14, 16, 31]","[5, 34, -23, -19, 35, 12, 22, 33]","[5, 34, -23, -17, 35, 13, 21, 33]","[12, 38, -30, -45, 38, 9, 38, 41]","[11, 38, -31, -45, 38, 6, 39, 41]","[4, 30, -16, -33, 33, 15, 36, 27]","[1, 25, -1, -6, 27, 19, 15, 14]"
6,0,-9.95,-35,"[11, 38, -31, -45, 38, 9, 39, 41]","[7, 35, -25, -28, 36, 11, 28, 36]","[11, 38, -31, -45, 38, 9, 39, 41]","[11, 37, -30, -43, 38, 9, 38, 40]","[12, 38, 5, -45, 1, 10, 38, 41]","[10, 37, 2, -36, 9, 10, 32, 38]","[4, 32, -18, -19, 33, 14, 23, 29]","[11, 33, -21, -38, 34, 12, 33, 33]","[11, 38, -31, -45, 38, 6, 39, 41]","[11, 32, -18, -36, 33, 11, 31, 31]"
7,0,-14.75,-104,"[11, 38, -31, -45, 38, 9, 39, 41]","[9, 36, -28, -36, 37, 10, 34, 38]","[9, 35, 1, -34, 12, 11, 31, 35]","[2, 30, 10, -33, 33, 15, 36, 8]","[11, 38, -31, -45, 38, 8, 39, 41]","[11, 38, -31, -45, 38, 7, 39, 41]","[5, 32, -19, -25, 34, 13, 27, 30]","[10, 31, -19, -33, 33, 13, 31, 30]","[11, 32, -18, -36, 33, 11, 31, 30]","[7, 26, -17, -22, 33, 14, 25, 26]"
8,0,-10.65,-64,"[11, 38, -31, -45, 38, 9, 39, 41]","[11, 38, -31, -44, 38, 9, 39, 40]","[8, 35, -26, -33, 36, 11, 32, 36]","[6, 33, -21, -28, 35, 12, 29, 32]","[11, 37, -29, -44, 37, 8, 38, 40]","[3, 26, 5, -28, 34, 14, 35, 8]","[5, 32, -19, -25, 34, 13, 27, 30]","[11, 33, -20, -37, 34, 11, 32, 31]","[11, 32, -18, -36, 33, 11, 31, 30]","[7, 27, -17, -23, 33, 14, 26, 26]"
9,0,-11.25,-42,"[11, 38, -31, -45, 38, 9, 39, 41]","[11, 37, -28, -43, 37, 8, 38, 39]","[6, 33, -21, -28, 35, 12, 29, 32]","[8, 33, -20, -31, 34, 12, 30, 31]","[8, 30, -10, -33, 34, 12, 33, 22]","[6, 29, -5, -32, 34, 13, 34, 17]","[8, 29, -17, -27, 33, 13, 28, 27]","[10, 30, -18, -32, 33, 12, 29, 29]","[6, 26, -16, -22, 33, 14, 26, 25]","[10, 33, -20, -37, 34, 11, 33, 28]"
0,-5,-137.55,-334,"[22, 13, 47, 21, 45, 37, -44, -46]","[17, 40, 38, 40, 24, 29, -47, -23]","[-18, -9, -18, 50, 13, 32, 19, -2]","[-12, 15, 15, 49, 30, 3, -47, -1]","[49, 15, 23, -50, 10, -9, 39, -42]","[38, 14, 43, 32, 49, 47, 6, -41]","[50, 2, 36, 40, 45, 48, 16, -37]","[-38, -28, 17, -10, 48, 25, -36, -2]","[24, -50, 43, -47, 3, -48, 32, 17]","[-22, 5, -37, 7, 30, -7, -37, 34]"
1,-5,-93.85,-179,"[22, 13, 47, 21, 45, 37, -44, -46]","[10, 30, 27, 42, 22, 30, -34, -19]","[26, -1, 31, 29, 38, 30, -1, -34]","[-9, 14, 16, 49, 31, 5, -44, -3]","[27, 29, 37, 40, 30, 35, -28, -27]","[-11, 13, 16, 46, 29, 1, -44, 0]","[-14, 9, 17, 28, 31, -8, -25, -5]","[40, 13, 37, 40, 39, 42, -3, -33]","[-20, -1, 19, 20, 32, 12, -36, -13]","[47, 3, 35, 40, 44, 46, 13, -35]"
2,0,-41.05,-97,"[18, -1, 29, 27, 37, 27, -7, -30]","[24, 7, 40, 24, 42, 34, -26, -41]","[22, 13, 47, 21, 45, 37, -44, -46]","[10, 30, 27, 42, 22, 30, -34, -19]","[10, 30, 27, 42, 22, 30, -34, -19]","[24, 5, 38, 26, 41, 33, -19, -39]","[4, 25, 25, 39, 24, 21, -32, -16]","[3, 23, 24, 38, 25, 18, -31, -15]","[7, 13, 32, 35, 38, 21, -44, -25]","[28, 1, 32, 31, 38, 32, -1, -34]"
3,0,-19.65,-66,"[18, -1, 29, 27, 37, 27, -7, -30]","[8, 29, 26, 41, 23, 28, -33, -18]","[24, 7, 40, 24, 42, 34, -26, -41]","[22, 13, 46, 21, 45, 36, -43, -46]","[6, 26, 26, 40, 23, 23, -33, -17]","[16, 17, 39, 27, 38, 31, -40, -35]","[18, 16, 33, 33, 32, 32, -26, -30]","[16, 19, 32, 35, 31, 31, -27, -28]","[4, 25, 25, 39, 24, 21, -32, -16]","[28, 1, 32, 31, 1, 32, -1, -34]"
